"Title","Sub Title","Authors/Editors","Edition Number","Volume Number","Part Number","Publisher","DOI","Online Publication date","Online ISBN","PB ISBN","PB Publication date","HB ISBN","HB Publication date","Series","Main subject","Sub subject","URL"
"Absolutely Summing Operators","","Joe Diestel, Kent State University, Ohio; Hans Jarchow, Universitat Zurich; Andrew Tonge, Kent State University, Ohio","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511526138","21-10-2009","9780511526138","9780521064934","12-06-2008","9780521431682","27-04-1995","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/absolutely-summing-operators/2E5A2E50E4725B4CC739607FF464823E"
"Additive Combinatorics","","Terence Tao, University of California, Los Angeles; Van H. Vu, Rutgers University, New Jersey","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511755149","18-06-2010","9780511755149","9780521136563","19-11-2009","9780521853866","14-09-2006","Cambridge Studies in Advanced Mathematics","Real and complex analysis","Number theory","https://www.cambridge.org/core/books/additive-combinatorics/D408BA34B567974CC8FB0CEC2A49A807"
"Algebraic Automata Theory","","M. Holcombe","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511525889","22-09-2009","9780511525889","9780521604925","03-06-2004","","","Cambridge Studies in Advanced Mathematics","Logic, categories and sets","Programming languages and applied logic","https://www.cambridge.org/core/books/algebraic-automata-theory/09F9F4EC17BF48630DC21EFA2DB3EB7C"
"Algebraic Groups","The Theory of Group Schemes of Finite Type over a Field","J. S. Milne, University of Michigan, Ann Arbor","1","","","Cambridge University Press","https://doi.org/10.1017/9781316711736","25-10-2017","9781316711736","","","9781107167483","21-09-2017","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/algebraic-groups/48D122BAEC63C2B70304E20F34482C8F"
"Algebraic Homotopy","","Hans Joachim Baues, Max-Planck-Institut fur Mathematik in den Naturwissenschaften, Leipzig","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511662522","22-03-2010","9780511662522","9780521055314","20-03-2008","9780521333764","16-02-1989","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/algebraic-homotopy/54FC268C9D3E89F1B7968372C023A7E2"
"Algebraic Number Theory","","A. Frohlich, University of London; M. J. Taylor, University of Manchester Institute of Science and Technology","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139172165","05-06-2012","9781139172165","9780521438346","04-02-1993","","","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/algebraic-number-theory/A47B605B1066C5781C1466FF19E50160"
"An Introduction to Contact Topology","","Hansjorg Geiges, Universitat zu Koln","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511611438","05-11-2009","9780511611438","","","9780521865852","13-03-2008","Cambridge Studies in Advanced Mathematics","Topology and geometry","","https://www.cambridge.org/core/books/an-introduction-to-contact-topology/F851B2A2E7E78C6B9967A18A6641B40C"
"An Introduction to Homological Algebra","","Charles A. Weibel, Rutgers University, New Jersey","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139644136","05-03-2013","9781139644136","9780521559874","25-01-1996","","","Cambridge Studies in Advanced Mathematics","Algebra","Real and complex analysis","https://www.cambridge.org/core/books/an-introduction-to-homological-algebra/AAA3F16482097015CD12D4376D505282"
"An Introduction to Invariants and Moduli","","Shigeru Mukai, Nagoya University, Japan; W. M. Oxbury, University of Durham","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316257074","05-02-2015","9781316257074","9781107406360","01-11-2012","9780521809061","18-09-2003","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/an-introduction-to-invariants-and-moduli/FD47BBB910AA000A98E491D105185928"
"An Introduction to Lie Groups and Lie Algebras","","Alexander Kirillov, Jr, State University of New York, Stony Brook","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511755156","31-05-2010","9780511755156","9781316614105","06-04-2017","9780521889698","31-07-2008","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/an-introduction-to-lie-groups-and-lie-algebras/98E68056F3EE57686421863E2B0B5DF4"
